topic,original tweet ID,original sentiment,original tweets,Tweet1,Tweet2,New label
jay-z,628162749806321665,Negative,An i will bring my ass to NEW YORK IF I HAVE TO..  We going to sat that bitch off... Jay-z yall lost your fucking... http://fb.me/xP5WGbJh,I need another one military an jay-z yall right i need another one.. Like i said ill die for his ass,Jay-z tried to have someone kill my ass.. Let his ass pull it again,Negative
jeb bush,637816321359618048,Positive,"Jeb Bush also took in some hard cash in the Hamptons on Saturday https://shar.es/1v7Hs1 via 
@prwatch",oy! Jeb Bush's Image Among Republicans Deteriorates http://gallup.com/poll/188069/jeb-bush-image-among-republicans-deteriorates.aspx?utm_source=twitterbutton&utm_medium=twitter&utm_campaign=sharing,"A guy next to me on the train, not Jeb Bush, is biting his nails and spitting em out.",Negative
jeb bush,638796601708969988,Negative,"@realDonaldTrump
 HAHAHA YES Donald I'm visiting trump tower this Sunday. I hope to see you!  Jeb Bush is a total joke as a candidate.",God damnit!  Jeb bush is so USELESS. GO THE FUCK HOME NOW!,Jeb Bush is useless.  He is hated by Dems and Republicans--why is he running only to obstruct?  Family priviledge? Get him outta here!,Negative
joe biden,636709453060968448,Positive,TOP REASONS JOE BIDEN SHOULD RUN FOR PRESIDENT: Jimmy Fallon may invite him on his show to play something with ping-pong balls.,TOP REASONS JOE BIDEN SHOULD RUN FOR PRESIDENT: No email scandals here.  He doesn't even know how to boot up a computer.,"Joe Biden says ""American Sniper"" made him cry.  Or at least it would've if his tear ducts weren't buried beneath Botox.",Negative
joe biden,637376504092061700,Negative,"""Joe Biden may join Bernie Sanders in the Democrat primary... I thought the Democrats were opposed to fossil fools!"" ~ Emily Zanotti,","‘Joe Biden defense’ fails, jury convicts man for firing gun to scare away robbers http://ln.is/washingtontimes.com/NTnwG via 
@washtimes","it would be easier for Joe Biden to grow hair , than control the weather.. just sayin.",Negative
jurassic park,631890752352686080,Positive,"Start your weekend with a roar at special IMAX showings of ""Jurassic Park,"" opening tomorrow night! http://sciowa.org/imax/schedule/",Jurassic Park opens in IMAX this Saturday! Join us to see your favorite dinosaurs on the big screen!,Hold on to your butts! We're showing Jurassic Park starting October 28. This is your chance to see your favorite park on our giant dome!,Positive
jurassic park,634388171321671680,Negative,"im so bored i dont want to watch jurassic park for the hundredth time, i just want it to fucking be sunday already..",isnt it slightly racist that the main scientists on jurassic park and jurassic world are asian..,"we actually went out tonight wow and saw a viewing of jurassic park in a cute museum, it was so cosy and nice (plus we got free popcorn) 🦖",Positive
jurassic world,627732513763405824,Positive,I have the worst urge to watch Jurassic World for the 4th time in theaters someone make it stop,Dream date: someone takes me to watch Jurassic world on June 12.,IM SO EXCITED OMFG THE JURASSIC WORLD TRAILER IS COMING OUT THURSDAY OMG IM CRYING,Positive
jurassic world,629854520839938048,Negative,"@greggibson86 
@landoncreynolds
 tru....I may still need to glance it...because Jurassic World straight sucked","Jurassic World rating 

Entertainment 5/5 

Story 2/5 

WEAK! Story line and sappy sub plots led me to crave more Dino action @greggibson86",Ok @greggibson86 it's time to see if Jurassic World holds up....review to follow #JurasicWorld #TheParkIsOpen,Negative
justin,641295702610550792,Positive,That moment when you live in NYC but you're at college in PA when Justin's performing there on Thursday fuck me man https://x.com/likebrb/status/641259873137786880,The day my mother sings along to one of Justin's songs she's NEVER living it down,"One day, everything will not be all about Justin or fangirling in general",Positive
justin,641348664284176384,Negative,i hope justin's concert thursday gets cancelled bc of the thunder storm thats supposed to happen,praying justin comes to barclays center september 27th,justin slaying on his sc story,Positive
juventus,637151958781009920,Positive,"@CoolFMNigeria
 @manipulator77 
@MercyAjisafe
 @AjukaRosemary Man city, the group is tricky, Juventus to top, Sevilla n city will fight for 2nd","Many happy returns to Juventus legend,
Giovanni Trapattoni. Happy birthday, Trap!",Juventus are the 1st team to score twice against Bayern Munich at Allianz Arena in #UCL since Barcelona in May 2015. Exploit.,Positive
juventus,637348635253055488,Negative,87 years of Italian Serie A history produced a first for Juventus on Sunday: they lost at home on the opening day of the season,GOOOOALL JUVENTUS,JUVENTUS!!!!!👏🏼👏🏼👏🏼🇮🇹,Positive
kerry,639105902751186946,Negative,Kerry: #Iran agreement not a panacea for the sectarian & extremist violence ripping region apart.  But history may judge it a turning point,Kerry had the right idea.,hm. wuld think kerry would not think it in US interest to embarrass him on that.,Positive
kerry,639750563924705280,Positive,"@Kerry4NY "" Good morning Kerry! Happy Friday! Wishing you a safe and awesome labor day weekend!","@Kerry4NY "" Good morning Kerry! Wishing you a Merry Christmas, may it be filled with Christ, family, love & happiness!","@Kerry4NY "" Good morning Kerry! It's my favorite time of the year! Have a safe & wonderful Wednesday!",Positive
kurt cobain,621559502182035456,Negative,"@DannyBrennan72
 as long as you don't go all Kurt Cobain on me, he may have been awesome, but he might not have made the best choises lol","@DannyBrennan72
 Didn't I tell you not to go all Kurt Cobain on me? God, listen more closely next time.","@StarWipe
 only clicked on it because of Kurt Cobain, but ended up laughing. I love it so much, tbh",Positive
kurt cobain,623829358063566848,Positive,"""Some may find this childish, but I revel in it."" - Kurt Cobain 1967-1993","""We dreamed of creating the world's strongest Pokémon… and we succeeded."" - Kurt Cobain 1967-1993","""Still making headlines all across the country, the Ghostbusters are at it again..."" - Kurt Cobain 1967-1993",Positive
labor day,641395795472838656,Positive,"As you may already know, we are back from our one day observance of Labor Day. Stop by or email bridal@hallak.com today!",Happy Labor Day weekend from your friends at Hallak Bridal.#LongWeekend #LBD #LBD2016 #LaborDayWeekend,"We are hope you are enjoying your long weekend. Tomorrow, we will be closed in honor of Labor Day! See you Tuesday!",Positive
labor day,641642487006650369,Negative,"Labor day is making me a day behind.
Today's Wednesday but it feels like Tuesday",Happy Labor Day,I will be continuing the tradition of wearing white after labor day!,Positive
lexus,627145332376219648,Positive,I told brionna sierra my sister n lexus we all corny lbs Lexus was first thoo I was 2nd just movn now tho so idc lbs,& i got lexus on ayyyyyye interview 2morrow 😊💯💁,Lexus play all day i just died 😂😂😂😂😂😂😂😂😂😂😂,Positive
lexus,632341630784147456,Positive,"Night Crumbs: The Nanny and the Lexus that may or may not have been bought with Ben Affle... http://bit.ly/1gIkREz follow 
@mescana
 4mor","Photo: Comedian Omobaba buys Lexus car: Popular comedian Olufemi Fagade aka Omobaba No.1 ... http://bit.ly/1xj4PlC follow 
@mescana
 4mor","This has got to be the most creative wedding car seen yet! (photos): This Lexus car was s... http://bit.ly/1DSwW4X follow 
@mescana
 4mor",Positive
madonna,638355525193732097,Positive,"The thing about being older is that when I see people like Miley dressing the way she does, all I think is ""Meh, Madonna did it 1st.""","*I recently found all of my 80s bangles, earrings, and necklaces, and I can thank/blame Madonna for my love of accessories then and to this day, LOL.",Any Madonna fans?  She's in Moscow for a concert and opened a fitness club there.  Pics. http://spletnik.ru/events/35009-madonna-priekhala-v-moskvu.html,Positive
madonna,639884524038553600,Positive,"On September 13, there will be a blessing of CLC at the 9pm Mass in Madonna della Strada. All are welcome. See you there!",Join us in Madonna della Strada Chapel today at 4:00 p.m. for an Ecumenical Prayer Service for Migrants and Refugees.,Interested in singing for the Mass of the Holy Spirit? Come join us in our choir rehearsal in Madonna at 1pm this afternoon. See you there!,Positive
magic mike xxl,622546592600596480,Positive,"@channingtatum
 In theater to see Magic Mike XXL for the 3rd times. Love this movie.","@reidcarolin Great writting on Magic Mike XXL, truly amazing & I really enjoyed it. Hope we get another one. Thx for this amazing gift.","@reidcarolin Going to see Magic Mike XXL this Wednesday, can't wait.",Positive
magic mike xxl,638168995271737344,Negative,"I was SO disappointed with Magic Mike XXL!!! If it would have came out first, I dont think I would have watched the 2nd one.",The First Magic Mike was SO much better than the 2nd!! The 2nd doesn't even compare with the first!!,Kool....like the way you did that,Negative
mariah carey,632248794965393409,Positive,Best part of getting to the office first = choosing Friday tunes. (S/O to Mariah Carey.),Mood: Mariah Carey,"Me: “Do you need help with your bags?”
You: “Mood: Mariah Carey”",Positive
mariah carey,632380231295209472,Positive,"@YouWishIGaveAf
 ion know the riaa site has Madonna then Mariah Carey in 2nd",Mariah Carey body is getting gains,Mariah Carey was the queen of the remix,Positive
messi,639987143117398016,Positive,Whoaaaa...! #MESSI's show is on.. MESSI with the 2nd Goal... MESSI scored a brace. The greatest ever has destroyed them. #ARGvBOL,"He is the best.
He is LIONEL #MESSI. https://instagram.com/p/_rbw5xkE80/","This is #LionelMESSI Baby !
The greatest of all time, the best ever for a reason.
#messi https://instagram.com/p/_rm8g5EE5V/",Positive
messi,640012189357637633,Negative,Messi has now failed to score against Atletico for the 5th consecutive game,"Rafael Nadal: ""Lionel Messi is the best player I've ever seen.""","adidas: ""Messi has found a way to absorb all of the pressure and expectation and transforms it into his incredible speed and energy... (1/3)",Positive
metlife,629062416454823936,Negative,me: *pretends MetLife isn't happening tonight or tomorrow night because i'm not there*,"the amount of people from my school that went to MetLife and I didn't have tickets to go, does life make sense......",i'm trying to find some good seats for MetLife but ticketmaster keep disrespecting me and put me in section 100,Positive
metlife,630421104889319424,Positive,"@Harry_Styles
 still upset you didn't tweet about MetLife on Wednesday :(",when MetLife posts it's best 9 photos of 2015 & it's all from the OTRA MetLife aka MY SHOW, get so excited every time I see a pic of a big stadium full of fans because I will see that it's MetLife AND I WAS THERE 2 YEARS IN A ROW,Positive
